X,Y,OBJECTID,StopId,StopAbbr,StopName,NodeAbbr,OnStreet,AtStreet,Lon,Lat,GeoStatus,Comments,BayNum,FacingDir,FareZoneId,CurbType,InService,Preferred,Bench,Shelter,Lighting,Garbage,Telephone,SignPost,Bicycle,Transfer,URL,DATASOURCE,UA
1012663.43077428,445762.596784778,523,13493,BRIR(SW),Broadway/Irving, ,E BROADWAY BLVD,S IRVING AVE,-110905615,32221444,-214748363, ,ACI-bl19,1,0,W6,1,0,0,1,1,0,,0,0,0,https://maps2.tucsonaz.gov/tdot/busstops/13493.jpg,TDOT_BUSSTOPS,
1030604.5265748,445820.910433069,524,13392,BRJE(NW),Broadway/Jessica, ,E BROADWAY BLVD,N JESSICA AVE,-110847606,32221127,-214748363, ,G-bl94r,1,0,W2,1,0,1,1,0,1,,0,0,0,https://maps2.tucsonaz.gov/tdot/busstops/13392.jpg,TDOT_BUSSTOPS,
1030768.06463255,445735.579396322,525,13527,BRJE(SE),Broadway/Jessica, ,E BROADWAY BLVD,N JESSICA AVE,-110847080,32220888,-214748363, ,G,1,0,W2,1,0,0,1,0,1,,0,0,0,https://maps2.tucsonaz.gov/tdot/busstops/13527.jpg,TDOT_BUSSTOPS,
1032502.39206037,445817.651902884,526,13390,BRKO(NW),Broadway/Kolb, ,E BROADWAY BL,N KOLB RD,-110841470,32221066,-214748363,2 trash cans,G refurb,1,0,W2,1,1,0,1,0,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/13390.jpg,TDOT_BUSSTOPS,
1032795.42585302,445773.649278216,527,13530,BRKO(SE),Broadway/Kolb, ,E BROADWAY BLVD,N KOLB RD,-110840524,32220937,-214748363, ,G,1,0,W2,1,1,0,1,0,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/13530.jpg,TDOT_BUSSTOPS,
1031815.99146982,445732.200787403,528,13528,BRLA(SE),Broadway/Langley, ,E BROADWAY BLVD,S KOLB RD,-110843692,32220850,-214748363,moved to Gaslight Theatre 08-20-11,ACI-bl19,1,0,W2,1,0,1,1,1,1,,0,0,0,https://maps2.tucsonaz.gov/tdot/busstops/13528.jpg,TDOT_BUSSTOPS,
1052503.17290026,445970.313976377,529,16264,BRLD(NW),Broadway/Leland, ,E BROADWAY BLVD,N LELAND RD,-110776800,32220919,-214748363, , , ,0,W2,1,0,0,0,0,0,,1,0,0,https://maps2.tucsonaz.gov/tdot/busstops/16264.jpg,TDOT_BUSSTOPS,
1022936.17946194,445985.27395013,530,13408,BRLE(NW),Broadway/Leonora, ,E BROADWAY BLVD,N LEONORA AVE,-110872394,32221786,-214748364, ,G refurb,1,0,W6,1,0,1,1,1,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/13408.jpg,TDOT_BUSSTOPS,
1023173.46817585,445851.504921257,531,13502,BRLE(SE),Broadway/Leonora, ,E BROADWAY BLVD,N LEONORA AVE,-110871631,32221412,-214748363, ,F refurb,1,0,W6,1,0,0,1,0,1,,0,0,1,https://maps2.tucsonaz.gov/tdot/busstops/13502.jpg,TDOT_BUSSTOPS,
1030140.93011811,445723.885498688,532,13526,BRMA(SE),Broadway/Mann, ,E BROADWAY BLVD,N JESSICA AVE,-110849108,32220873,-214748363, , , ,0,W2,1,0,1,0,0,0,,1,0,0,https://maps2.tucsonaz.gov/tdot/busstops/13526.jpg,TDOT_BUSSTOPS,
1026200.63484252,445964.402230971,533,13405,BRMC(WB),Broadway/McDonalds, ,E BROADWAY BLVD,N WILMOT RD,-110861840,32221641,-214748363, ,G-pl04,1,0,W6,1,0,0,1,1,1,,0,0,0,https://maps2.tucsonaz.gov/tdot/busstops/13405.jpg,TDOT_BUSSTOPS,
1033666.2437664,445851.148293965,534,13389,BRMO(NW),Broadway/Montego, ,E BROADWAY BLVD,N KOLB RD,-110837706,32221126,-214748363, , ,0,0,W2,1,0,1,0,0,0,,1,0,0,https://maps2.tucsonaz.gov/tdot/busstops/13389.jpg,TDOT_BUSSTOPS,
1033963.42552494,445763.900262468,535,13531,BRMO(SE),Broadway/Montego, ,E BROADWAY BLVD,S MONTEGO DR,-110836748,32220878,-214748363, , , ,0,W2,1,0,0,0,0,0,,1,0,1,https://maps2.tucsonaz.gov/tdot/busstops/13531.jpg,TDOT_BUSSTOPS,
